Model,Cost Per Million Tokens Prompt,Cost Per Million Tokens Completion
gemini-1.5-pro-latest,3.5,10.5
gemini-1.5-flash-latest,0.075,0.3
gemini-1.0-pro-latest,0.5,1.5
gpt-3.5-turbo-0125,0.5,1.5
gpt-4-turbo-2024-04-09,10,30
gpt-4-0613,30,60
gpt-4o-2024-05-13,5,15
gpt-4o-mini-2024-07-18,0.15,0.6
meta-llama/Meta-Llama-3-8B-Instruct,0.06,0.06
meta-llama/Meta-Llama-3-70B-Instruct,0.52,0.75
meta-llama/Meta-Llama-3.1-8B-Instruct,0.06,0.06
meta-llama/Meta-Llama-3.1-70B-Instruct,0.52,0.75
meta-llama/Meta-Llama-3.1-405B-Instruct,0.24,0.24
claude-3-haiku-20240307,0.25,1.25
claude-3-sonnet-20240229,3,15
claude-3-opus-20240229,15,75
claude-3-5-sonnet-20240620,3,15
o1-mini-2024-09-12,3,12
o1-preview-2024-09-12,15,60
o1-2024-12-17,15,60
gemini-2.0-flash-exp,0,0
gemini-1.5-flash-8b,0.0375,0.15
grok-2-1212,2,10
grok-beta,5,15
claude-3-5-sonnet-20241022,3,15
claude-3-5-haiku-20241022,0.8,4
gpt-4o-2024-08-06,2.5,10
gpt-4o-2024-11-20,2.5,10
gemini-1.5-pro-001,1.25,5
gemini-1.5-pro-002,1.25,5
gemini-1.5-flash-001,0.075,0.3
gemini-1.5-flash-002,0.075,0.3
gemini-1.0-pro-001,0.5,1.5
gemini-1.0-pro-002,0.5,1.5
gemini-1.0-pro,0.5,1.5
